"id","year","state_name","state_code","district_name","district_code","registeration_circles","murder","attempt_to_commit_murder","simple_hurt","grievous_hurt","aslt_on_adult_women","sexual_harassment","assault_on_women_with_intent_to_disrobe","voyeurism","stalking","assault_of_children","insult_to_the_modesty_of_women","kidnapping_and_abduction","rape","attempt_to_commit_rape","rioting","robbery","dacoity","arson","criminal_intimidation","other_ipc_crimes","sc_st_prevention_of_atrocities_act","protection_of_civil_rights_act","total_crime"
0,"2021-01-01","Himachal Pradesh","02","Solan","025","Baddi",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0
1,"2021-01-01","Himachal Pradesh","02","Bilaspur","015","Bilaspur",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,"2021-01-01","Himachal Pradesh","02","Chamba","016","Chamba",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,"2021-01-01","Himachal Pradesh","02","Hamirpur","017","Hamirpur",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,"2021-01-01","Himachal Pradesh","02","Kangra","018","Kangra",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
5,"2021-01-01","Himachal Pradesh","02","Kinnaur","019","Kinnaur",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,"2021-01-01","Himachal Pradesh","02","Kullu","020","Kullu",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,"2021-01-01","Himachal Pradesh","02","Lahul And Spiti","021","Lahaul And Spiti",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,"2021-01-01","Himachal Pradesh","02","Mandi","022","Mandi",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,"2021-01-01","Himachal Pradesh","02","Shimla","023","Shimla",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,"2021-01-01","Himachal Pradesh","02","Sirmaur","024","Sirmaur",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,"2021-01-01","Himachal Pradesh","02","Solan","025","Solan",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,"2021-01-01","Himachal Pradesh","02","Una","026","Una",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13,"2020-01-01","Himachal Pradesh","02","Bilaspur","015","Bilaspur",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,"2020-01-01","Himachal Pradesh","02","Chamba","016","Chamba",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
15,"2020-01-01","Himachal Pradesh","02","Hamirpur","017","Hamirpur",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,"2020-01-01","Himachal Pradesh","02","Kangra","018","Kangra",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
17,"2020-01-01","Himachal Pradesh","02","Kinnaur","019","Kinnaur",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
