"id","year","state_name","state_code","district_name","district_code","registeration_circles","murder","abetment_of_suicide_of_child","attempt_to_commit_murder","infanticide","foeticide","exposure_and_abandonment","simple_hurt","grievous_hurt","kidnapping_and_abduction_of_children","human_trafficking_children_only","selling_of_minors_for_prostitution","buying_of_minors_for_prostitution","rape","attempt_to_commit_rape","aslt_on_women","insult_to_the_modesty_of_women","other_ipc_crimes","pocso_act","juveniles_justice_care_and_protection_of_children","immoral_traffic_prevention","child_labour_prohibition_and_regulation","prohibition_of_child_marriage","transplantation_of_human_organs_act","cyber_crimes_or_information_technology","other_sll_crimes","total_ipc_and_sll_crimes"
0,"2021-01-01","Himachal Pradesh","02","Solan","025","Baddi",1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,28.0,1.0,0.0,0.0,21.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,62.0
1,"2021-01-01","Himachal Pradesh","02","Bilaspur","015","Bilaspur",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,12.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,40.0
2,"2021-01-01","Himachal Pradesh","02","Chamba","016","Chamba",1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,17.0,0.0,0.0,0.0,11.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0
3,"2021-01-01","Himachal Pradesh","02","Hamirpur","017","Hamirpur",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,26.0,0.0,0.0,0.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
4,"2021-01-01","Himachal Pradesh","02","Kangra","018","Kangra",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,25.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0
5,"2021-01-01","Himachal Pradesh","02","Kinnaur","019","Kinnaur",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
6,"2021-01-01","Himachal Pradesh","02","Kullu","020","Kullu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,12.0,0.0,4.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,40.0
7,"2021-01-01","Himachal Pradesh","02","Lahul And Spiti","021","Lahaul And Spiti",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
8,"2021-01-01","Himachal Pradesh","02","Mandi","022","Mandi",1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,55.0,0.0,0.0,0.0,30.0,0.0,10.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,105.0
9,"2021-01-01","Himachal Pradesh","02","Shimla","023","Shimla",0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,65.0,0.0,0.0,0.0,37.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0
10,"2021-01-01","Himachal Pradesh","02","Sirmaur","024","Sirmaur",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,30.0,0.0,0.0,0.0,37.0,0.0,11.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,87.0
11,"2021-01-01","Himachal Pradesh","02","Solan","025","Solan",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,36.0,0.0,0.0,0.0,7.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0
12,"2021-01-01","Himachal Pradesh","02","Una","026","Una",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,13.0,0.0,6.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,49.0
13,"2020-01-01","Himachal Pradesh","02","Bilaspur","015","Bilaspur",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,14.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0
14,"2020-01-01","Himachal Pradesh","02","Chamba","016","Chamba",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,16.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,46.0
15,"2020-01-01","Himachal Pradesh","02","Hamirpur","017","Hamirpur",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,4.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
16,"2020-01-01","Himachal Pradesh","02","Kangra","018","Kangra",2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,25.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,87.0
17,"2020-01-01","Himachal Pradesh","02","Kinnaur","019","Kinnaur",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
18,"2020-01-01","Himachal Pradesh","02","Kullu","020","Kullu",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,0.0,0.0,0.0,15.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,51.0
19,"2020-01-01","Himachal Pradesh","02","Lahul And Spiti","021","Lahul And Spiti",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,"2020-01-01","Himachal Pradesh","02","Mandi","022","Mandi",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,19.0,0.0,6.0,0.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,100.0
21,"2020-01-01","Himachal Pradesh","02","Shimla","023","Shimla",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,38.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,109.0
22,"2020-01-01","Himachal Pradesh","02","Sirmaur","024","Sirmaur",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,29.0,0.0,7.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,64.0
23,"2020-01-01","Himachal Pradesh","02","Solan","025","Solan",1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,39.0,0.0,0.0,0.0,20.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,73.0
