"id","year","state_name","state_code","district_name","district_code","registeration_circles","murder_with_rape_or_gang_rape","dowry_deaths","abetment_to_suicide_of_women","miscarriage","acid_attack","attempt_to_acid_attack","cruelty_by_husband_or_his_relatives","kidnapping_and_abduction_of_women_total","human_trafficking","selling_of_minor_girls","buying_of_minor_girls","rape","attempt_to_commit_rape","assault_on_women_with_intent_to_outrage_her_modesty","insult_to_the_modesty_of_women","dowry_prohibition","immoral_traffic_prevention_act_total","protection_of_women_from_domestic_violence_act","cyber_crimes_or_infor_tech_women_centric_crimes","prot_of_children_frm_sexual_viol_girl_child_victims","indecent_representation_of_women_prohibition","total_crime_against_women"
0,"2021-01-01","Himachal Pradesh","02","Solan","025","Baddi",0.0,0.0,7.0,0.0,0.0,0.0,16.0,23.0,1.0,0.0,0.0,31.0,0.0,23.0,4.0,0.0,1.0,0.0,3.0,0.0,0.0,109.0
1,"2021-01-01","Himachal Pradesh","02","Bilaspur","015","Bilaspur",0.0,0.0,6.0,0.0,0.0,0.0,13.0,21.0,0.0,0.0,0.0,17.0,0.0,44.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0
2,"2021-01-01","Himachal Pradesh","02","Chamba","016","Chamba",0.0,1.0,3.0,0.0,0.0,0.0,16.0,19.0,0.0,0.0,0.0,24.0,0.0,43.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,111.0
3,"2021-01-01","Himachal Pradesh","02","Hamirpur","017","Hamirpur",0.0,0.0,5.0,0.0,0.0,0.0,17.0,25.0,0.0,0.0,0.0,8.0,1.0,40.0,16.0,0.0,0.0,1.0,2.0,0.0,0.0,115.0
4,"2021-01-01","Himachal Pradesh","02","Kangra","018","Kangra",0.0,0.0,13.0,0.0,0.0,0.0,32.0,56.0,0.0,0.0,0.0,58.0,0.0,91.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,262.0
5,"2021-01-01","Himachal Pradesh","02","Kinnaur","019","Kinnaur",0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,6.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
6,"2021-01-01","Himachal Pradesh","02","Kullu","020","Kullu",0.0,0.0,2.0,0.0,0.0,0.0,10.0,14.0,0.0,0.0,0.0,18.0,0.0,26.0,3.0,0.0,1.0,0.0,2.0,4.0,0.0,80.0
7,"2021-01-01","Himachal Pradesh","02","Lahul And Spiti","021","Lahaul And Spiti",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
8,"2021-01-01","Himachal Pradesh","02","Mandi","022","Mandi",0.0,1.0,6.0,0.0,0.0,0.0,37.0,52.0,0.0,0.0,0.0,57.0,0.0,75.0,24.0,0.0,1.0,0.0,3.0,3.0,0.0,259.0
9,"2021-01-01","Himachal Pradesh","02","Shimla","023","Shimla",0.0,0.0,2.0,0.0,0.0,0.0,19.0,48.0,0.0,0.0,0.0,57.0,2.0,50.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0
